,label
206049.0,0
206051.0,0
206148.0,1
206179.0,1
206376.0,0
206507.0,0
206585.0,0
206606.0,0
206621.0,1
207118.0,1
207812.0,1
207867.0,1
207958.0,1
207964.0,1
207977.0,1
208148.0,0
208299.0,0
208322.0,0
208416.0,1
208465.0,1
208592.0,0
20915.0,1
209354.0,1
209758.0,1
209775.0,0
209869.0,1
210098.0,1
210238.0,0
210240.0,1
210259.0,0
210433.0,0
210519.0,1
210555.0,1
210618.0,1
21137.0,1
211611.0,0
211875.0,0
212532.0,0
21285.0,1
213207.0,0
213264.0,1
213327.0,0
213619.0,0
214095.0,0
215259.0,0
215318.0,0
215343.0,1
215712.0,1
216007.0,0
216030.0,0
216097.0,0
21638.0,1
216831.0,1
216857.0,0
21696.0,1
21727.0,1
21735.0,1
217395.0,0
21844.0,1
218708.0,0
218757.0,1
218912.0,0
219310.0,0
219350.0,1
219460.0,0
219600.0,1
219605.0,1
219614.0,1
219775.0,0
220134.0,0
220200.0,0
220548.0,0
220809.0,0
221104.0,1
221137.0,0
221153.0,0
221274.0,0
221740.0,0
222116.0,0
222247.0,0
222510.0,1
222605.0,1
22277.0,1
22305.0,1
223333.0,1
223338.0,0
22335.0,1
223377.0,1
223431.0,0
22344.0,1
22360.0,1
22373.0,0
223883.0,1
223885.0,1
223926.0,0
224263.0,0
224292.0,1
224325.0,1
224370.0,0
224472.0,1
224498.0,0
224599.0,0
224622.0,1
224631.0,1
224648.0,0
224649.0,1
224772.0,0
224817.0,0
224869.0,0
225343.0,0
225416.0,0
225768.0,0
225770.0,0
22649.0,1
226601.0,0
226602.0,1
226640.0,0
22689.0,0
227173.0,0
22719.0,1
227416.0,1
227420.0,1
227426.0,0
227556.0,1
22785.0,1
227874.0,1
22798.0,1
228105.0,1
22821.0,1
228561.0,1
22880.0,0
228925.0,1
22901.0,1
229090.0,0
229296.0,1
229808.0,0
229903.0,0
229967.0,0
230252.0,0
230422.0,1
230692.0,1
230702.0,1
231025.0,0
231412.0,1
231453.0,1
232457.0,1
232464.0,1
23289.0,1
233171.0,0
233356.0,0
233366.0,0
233389.0,0
23343.0,1
233880.0,1
233939.0,0
234046.0,0
234053.0,1
234406.0,1
234587.0,1
234641.0,0
236021.0,0
236306.0,1
236399.0,0
236442.0,0
23656.0,0
236696.0,0
237009.0,0
237363.0,0
238023.0,0
238039.0,0
238060.0,0
238063.0,0
238100.0,0
238567.0,0
238624.0,0
238645.0,0
238683.0,0
238712.0,0
238858.0,1
238889.0,0
239180.0,1
239235.0,1
239242.0,1
239572.0,1
240915.0,0
241124.0,1
241155.0,1
241164.0,1
241172.0,0
241178.0,1
24157.0,1
241629.0,0
241638.0,0
24196.0,0
24202.0,0
243053.0,1
243056.0,1
243338.0,0
243341.0,0
24351.0,1
243646.0,0
243797.0,0
243888.0,1
243981.0,0
244180.0,0
244261.0,1
244623.0,0
244817.0,0
244829.0,0
244836.0,0
24504.0,0
24508.0,1
245207.0,1
245243.0,1
245276.0,0
245322.0,0
245497.0,0
245582.0,0
245926.0,1
24602.0,1
246216.0,1
24695.0,1
247108.0,1
247318.0,0
247382.0,0
247538.0,0
24759.0,0
247764.0,0
248024.0,1
24814.0,1
248400.0,1
248837.0,0
250430.0,0
251417.0,0
251646.0,0
251826.0,0
251839.0,0
252097.0,0
252177.0,0
25271.0,0
252912.0,0
252919.0,0
252998.0,0
253709.0,1
254298.0,0
254427.0,1
255205.0,0
25522.0,0
255224.0,0
255226.0,0
255338.0,0
255343.0,0
255408.0,0
255852.0,0
256174.0,0
25639.0,1
25640.0,0
256935.0,0
256944.0,0
256976.0,0
257045.0,0
257247.0,0
257277.0,0
257531.0,0
257534.0,0
257771.0,0
257927.0,0
258654.0,0
258672.0,0
258802.0,0
259159.0,0
259260.0,0
259470.0,0
260011.0,0
260199.0,1
26110.0,1
26113.0,1
26115.0,1
261267.0,0
261326.0,0
261900.0,0
261902.0,0
262165.0,0
262226.0,0
262334.0,1
262341.0,1
263444.0,1
263727.0,1
263889.0,1
264076.0,1
264418.0,0
264446.0,0
265302.0,1
265811.0,1
265959.0,0
266366.0,0
266396.0,0
266609.0,0
266791.0,0
266852.0,0
266861.0,1
26690.0,1
266938.0,0
267092.0,1
267252.0,0
267255.0,0
267278.0,0
267354.0,1
267466.0,0
267694.0,0
267799.0,0
26808.0,1
268258.0,0
268536.0,0
268836.0,0
270254.0,0
270416.0,0
270439.0,0
270444.0,0
270449.0,0
270628.0,0
270665.0,0
270956.0,0
270993.0,1
270996.0,0
271366.0,0
271594.0,0
271598.0,0
272375.0,0
272624.0,0
272817.0,0
272838.0,0
273032.0,0
273171.0,0
273207.0,0
273237.0,0
273250.0,0
273314.0,0
273510.0,0
273531.0,0
273539.0,0
274073.0,0
274185.0,1
274219.0,0
274917.0,1
275248.0,0
275267.0,0
275603.0,1
275620.0,0
276217.0,0
27775.0,1
27798.0,0
277991.0,0
278474.0,0
27857.0,1
27863.0,1
279373.0,1
28006.0,0
280584.0,1
280794.0,0
280951.0,1
28142.0,1
28151.0,1
28182.0,1
28191.0,1
281984.0,0
282560.0,0
282586.0,0
282985.0,1
28335.0,1
283495.0,0
283935.0,0
284005.0,1
284673.0,0
286943.0,0
288714.0,0
288766.0,0
290062.0,1
290088.0,0
29044.0,0
290546.0,0
291121.0,0
292277.0,0
292588.0,1
294178.0,0
294226.0,0
295793.0,0
29751.0,0
29758.0,1
29771.0,1
298459.0,1
298736.0,0
298774.0,1
29920.0,1
299754.0,1
301320.0,1
301321.0,1
30162.0,0
30171.0,1
302220.0,1
30646.0,1
306700.0,1
30762.0,1
30763.0,1
30858.0,1
31197.0,0
31392.0,0
31474.0,0
31544.0,1
323217.0,1
32459.0,1
32681.0,0
327282.0,1
327283.0,1
33089.0,1
33170.0,0
33272.0,1
33312.0,0
33436.0,1
33439.0,0
341382.0,1
341763.0,1
341983.0,1
342197.0,1
342407.0,1
34346.0,0
34637.0,1
34640.0,1
34684.0,1
34984.0,1
34989.0,1
35684.0,1
35694.0,0
35934.0,0
36098.0,0
36116.0,1
36158.0,1
36164.0,1
36209.0,0
367506.0,1
367576.0,0
368460.0,1
368969.0,0
370050.0,1
370399.0,0
370404.0,1
37117.0,0
37459.0,0
38019.0,0
38154.0,1
38374.0,0
38387.0,1
39282.0,0
40129.0,1
40181.0,0
40247.0,1
40260.0,0
40266.0,1
40970.0,1
41026.0,1
41032.0,1
41381.0,0
41692.0,0
42426.0,1
42682.0,0
42946.0,1
43342.0,1
43371.0,0
43444.0,1
43456.0,0
43469.0,1
44457.0,1
44780.0,0
45175.0,0
45184.0,0
45186.0,0
45433.0,1
45676.0,0
45860.0,1
46254.0,1
46441.0,1
46495.0,0
46497.0,0
46503.0,1
46604.0,0
46615.0,0
46618.0,0
46663.0,0
46860.0,0
47472.0,0
47797.0,0
47939.0,1
48019.0,0
48300.0,1
48724.0,1
49029.0,1
49073.0,1
49264.0,1
49358.0,0
49417.0,1
49903.0,1
50103.0,0
50302.0,1
50306.0,1
50307.0,1
50444.0,1
50453.0,0
50455.0,1
50478.0,1
50479.0,1
51224.0,0
52067.0,1
52068.0,0
52160.0,0
52839.0,1
535523.0,1
53609.0,0
53742.0,0
53766.0,1
54457.0,1
55156.0,0
55506.0,1
56006.0,0
56148.0,1
56276.0,0
56810.0,1
56853.0,1
56989.0,0
57231.0,0
57294.0,1
57295.0,1
57598.0,1
57618.0,0
58096.0,1
58097.0,1
58151.0,1
58554.0,1
58795.0,1
59302.0,1
59333.0,0
59673.0,0
59712.0,1
60037.0,1
60405.0,1
60428.0,1
61277.0,1
61531.0,1
61557.0,1
62438.0,1
63841.0,1
63951.0,0
63956.0,1
65068.0,1
65939.0,1
66261.0,1
66505.0,1
66623.0,1
68828.0,1
69234.0,1
69268.0,1
69707.0,0
69824.0,0
69870.0,1
70280.0,0
70299.0,1
70420.0,0
70710.0,0
71029.0,1
71459.0,1
7155.0,1
7156.0,1
71736.0,1
71987.0,0
72017.0,0
72385.0,0
73360.0,1
73447.0,0
73449.0,0
74101.0,0
74184.0,0
74447.0,0
74532.0,1
74594.0,1
74870.0,0
74998.0,0
75393.0,1
75441.0,1
75892.0,1
75938.0,0
76104.0,1
76124.0,0
77229.0,1
77237.0,1
78398.0,1
78577.0,0
78752.0,0
79203.0,0
79356.0,1
79644.0,0
79701.0,1
79858.0,1
79925.0,1
79934.0,0
79935.0,0
80566.0,1
80620.0,0
80627.0,0
80855.0,1
80866.0,0
80914.0,0
81276.0,0
81371.0,1
81406.0,0
81538.0,0
81544.0,1
81563.0,1
81615.0,0
81668.0,0
81707.0,1
82666.0,1
83106.0,1
83119.0,1
83283.0,0
83310.0,0
83400.0,0
83859.0,1
8404.0,1
84133.0,0
84140.0,0
84176.0,0
84670.0,1
84772.0,1
84924.0,0
86494.0,1
87161.0,0
87163.0,0
87400.0,0
87434.0,1
88077.0,0
88099.0,1
88119.0,0
88139.0,1
88245.0,0
88791.0,0
88792.0,1
88797.0,0
88881.0,1
88888.0,0
89184.0,1
89266.0,1
89747.0,1
89787.0,0
89835.0,0
89839.0,1
89951.0,0
90008.0,1
90172.0,0
90396.0,1
90412.0,0
90667.0,1
90986.0,0
91166.0,1
91276.0,0
91292.0,1
91350.0,1
91574.0,1
91844.0,1
91996.0,1
92221.0,0
92291.0,0
92331.0,0
92496.0,0
92521.0,0
92533.0,0
92578.0,0
92686.0,0
93116.0,0
93119.0,0
93807.0,1
93821.0,0
93827.0,1
93828.0,1
93839.0,0
93843.0,1
93976.0,1
94215.0,0
94439.0,1
94481.0,1
94525.0,1
94532.0,0
94983.0,0
95147.0,1
95205.0,0
9524.0,1
95388.0,0
95887.0,1
96058.0,0
96099.0,0
96179.0,0
96194.0,0
96337.0,1
96350.0,0
96361.0,0
96642.0,0
96683.0,0
96685.0,0
96694.0,0
96700.0,1
97076.0,1
97095.0,1
97289.0,1
97908.0,1
97992.0,1
98155.0,0
98187.0,0
98442.0,0
98505.0,1
98562.0,1
99331.0,0
99501.0,0
